CA,sand.state,state.fips,fips.code,CFPL,zillow.forc,forc.high,hh2000
0,0,42,42129,1,208.9601,0,161058
0,0,42,42133,0,52.8663,0,156720
0,0,42,42133,1,459.1553,0,156720
0,0,44,44001,0,10.652471251166,0,19881
0,0,44,44001,1,133.233,0,19881
0,0,44,44003,0,11.6654002352521,0,70365
0,0,44,44003,1,537.7328,0,70365
0,0,44,44005,0,12.8549673284519,0,39561
0,0,44,44005,1,127.3502,0,39561
0,0,44,44007,0,52.4402,0,253214
0,0,44,44007,1,535.2727,0,253214
0,0,44,44009,0,16.9249271503029,0,56816
0,0,44,44009,1,205.2145,0,56816
0,0,45,45007,0,91.7085,0,73213
0,0,45,45007,1,397.8397,0,73213
0,0,45,45013,0,46.6031,0,60509
0,0,45,45013,1,487.5289,0,60509
0,0,45,45015,0,55.8226,0,54717
0,0,45,45015,1,268.7966,0,54717
0,0,45,45019,0,35.9062,0,141031
0,0,45,45019,1,337.5094,0,141031
0,0,45,45031,0,38.4007,0,28942
0,0,45,45031,1,106.9893,0,28942
0,0,45,45035,0,69.9091,0,37237
0,0,45,45035,1,396.4728,0,37237
0,0,45,45041,0,8.06450236207547,0,51836
0,0,45,45041,1,32.6711268706201,0,51836
0,0,45,45043,0,25.5272,0,28282
0,0,45,45043,1,181.3914,0,28282
0,0,45,45045,0,54.7299,0,162803
0,0,45,45045,1,384.1381,0,162803
0,0,45,45051,0,40.218,0,122085
0,0,45,45051,1,543.8571,0,122085
0,0,45,45055,0,11.8927947186103,0,22683
0,0,45,45055,1,97.3251849979289,0,22683
0,0,45,45057,0,15.2722,0,24962
0,0,45,45057,1,249.6809,0,24962
0,0,45,45063,0,80.3228,0,90978
0,0,45,45063,1,354.7477,0,90978
0,0,45,45075,0,126.9823,0,39304
0,0,45,45075,1,438.1229,0,39304
0,0,45,45079,0,132.6363,0,129793
0,0,45,45079,1,489.3026,0,129793
0,0,45,45083,0,63.3396,0,106986
0,0,45,45083,1,142.055,0,106986
0,0,45,45091,0,31.4519,0,66061
0,0,45,45091,1,304.9999,0,66061
0,0,47,47001,0,92.6143,0,32451
0,0,47,47001,1,394.8539,0,32451
